Download Winning Numbers from www.calottery.com on 8/20/2017 7:36:13 PM for POWERBALL

Draw #      Draw Date           Number_1    Number_2    Number_3    Number_4    Number_5    Powerball
------  ------------------      --------    --------    --------    --------    --------    ---------

363     Wed. Sep 28, 2016          30          38          52          53          62          1     
362     Sat. Sep 24, 2016          7          15          20          29          41          22     
361     Wed. Sep 21, 2016          1          28          63          67          69          17     
360     Sat. Sep 17, 2016          9          19          51          55          62          14     
359     Wed. Sep 14, 2016          10          11          23          28          31          14     
358     Sat. Sep 10, 2016          3          17          49          55          68          8     
357     Wed. Sep 07, 2016          22          23          29          33          55          21     
356     Sat. Sep 03, 2016          7          39          50          59          67          25     
355     Wed. Aug 31, 2016          5          10          24          56          61          12     
354     Sat. Aug 27, 2016          4          32          48          49          63          20     
353     Wed. Aug 24, 2016          9          11          25          64          65          16     
352     Sat. Aug 20, 2016          3          6          21          60          68          24     
351     Wed. Aug 17, 2016          33          44          49          50          52          8     
350     Sat. Aug 13, 2016          38          44          60          64          69          6     
349     Wed. Aug 10, 2016          23          56          61          64          67          12     
348     Sat. Aug 06, 2016          20          33          36          47          52          12     
347     Wed. Aug 03, 2016          9          11          27          66          67          2     
346     Sat. Jul 30, 2016          11          17          21          23          32          5     
345     Wed. Jul 27, 2016          10          47          50          65          68          24     
344     Sat. Jul 23, 2016          5          7          23          35          39          11     
343     Wed. Jul 20, 2016          6          25          35          58          66          5     
342     Sat. Jul 16, 2016          11          17          40          50          62          26     
341     Wed. Jul 13, 2016          3          15          29          54          57          10     
340     Sat. Jul 09, 2016          10          28          32          61          64          12     
339     Wed. Jul 06, 2016          2          24          31          57          66          18     
338     Sat. Jul 02, 2016          10          34          39          59          63          4     
337     Wed. Jun 29, 2016          23          29          37          60          64          6     
336     Sat. Jun 25, 2016          3          27          36          56          69          25     
335     Wed. Jun 22, 2016          14          40          42          43          52          17     
334     Sat. Jun 18, 2016          2          23          41          53          63          11     
333     Wed. Jun 15, 2016          4          22          24          31          33          10     
332     Sat. Jun 11, 2016          20          27          36          41          58          7     
331     Wed. Jun 08, 2016          12          25          37          60          69          20     
330     Sat. Jun 04, 2016          16          20          22          43          64          17     
329     Wed. Jun 01, 2016          23          30          33          40          69          12     
328     Sat. May 28, 2016          6          33          34          58          59          12     
327     Wed. May 25, 2016          11          24          41          59          64          15     
326     Sat. May 21, 2016          5          7          9          23          32          26     
325     Wed. May 18, 2016          23          25          39          54          67          11     
324     Sat. May 14, 2016          13          27          47          64          65          9     
323     Wed. May 11, 2016          20          32          52          66          69          23     
322     Sat. May 07, 2016          5          25          26          44          66          9     
321     Wed. May 04, 2016          30          47          57          66          69          3     
320     Sat. Apr 30, 2016          3          12          16          32          34          14     
319     Wed. Apr 27, 2016          2          25          33          39          64          17     
318     Sat. Apr 23, 2016          19          35          46          59          62          13     
317     Wed. Apr 20, 2016          12          25          30          52          62          8     
316     Sat. Apr 16, 2016          3          18          25          32          51          3     
315     Wed. Apr 13, 2016          30          33          35          38          64          22     
314     Sat. Apr 09, 2016          14          22          23          41          61          9     
313     Wed. Apr 06, 2016          4          28          49          60          65          25     
312     Sat. Apr 02, 2016          9          28          30          40          61          3     
311     Wed. Mar 30, 2016          24          44          53          55          63          19     
310     Sat. Mar 26, 2016          11          23          42          52          68          6     
309     Wed. Mar 23, 2016          5          8          15          22          49          25     
308     Sat. Mar 19, 2016          11          23          43          54          60          3     
307     Wed. Mar 16, 2016          10          12          13          46          50          21     
306     Sat. Mar 12, 2016          11          28          50          57          62          23     
305     Wed. Mar 09, 2016          14          23          32          34          68          3     
304     Sat. Mar 05, 2016          3          27          34          59          69          19     
303     Wed. Mar 02, 2016          12          13          44          52          62          6     
302     Sat. Feb 27, 2016          10          11          21          22          53          18     
301     Wed. Feb 24, 2016          21          31          64          65          67          5     
300     Sat. Feb 20, 2016          11          12          15          16          54          25     
299     Wed. Feb 17, 2016          7          17          27          29          40          25     
298     Sat. Feb 13, 2016          7          15          18          19          36          20     
297     Wed. Feb 10, 2016          2          3          40          50          62          5     
296     Sat. Feb 06, 2016          4          13          31          36          52          8     
295     Wed. Feb 03, 2016          26          28          31          60          67          23     
294     Sat. Jan 30, 2016          5          12          16          31          43          18     
293     Wed. Jan 27, 2016          3          12          40          52          67          21     
292     Sat. Jan 23, 2016          22          32          34          40          69          19     
291     Wed. Jan 20, 2016          5          39          44          47          69          24     
290     Sat. Jan 16, 2016          3          51          52          61          64          6     
289     Wed. Jan 13, 2016          4          8          19          27          34          10     
288     Sat. Jan 09, 2016          16          19          32          34          57          13     
287     Wed. Jan 06, 2016          2          11          47          62          63          17     
286     Sat. Jan 02, 2016          5          6          15          29          42          10     
285     Wed. Dec 30, 2015          12          36          38          54          61          22     
284     Sat. Dec 26, 2015          27          40          44          59          65          20     
283     Wed. Dec 23, 2015          16          38          55          63          67          25     
282     Sat. Dec 19, 2015          28          30          41          59          68          10     
281     Wed. Dec 16, 2015          9          10          32          42          55          6     
280     Sat. Dec 12, 2015          2          14          19          30          62          22     
279     Wed. Dec 09, 2015          7          10          16          46          56          1     
278     Sat. Dec 05, 2015          13          27          33          47          68          13     
277     Wed. Dec 02, 2015          14          18          19          32          64          9     
276     Sat. Nov 28, 2015          2          6          47          66          67          2     
275     Wed. Nov 25, 2015          16          29          53          58          69          21     
274     Sat. Nov 21, 2015          37          47          50          52          57          21     
273     Wed. Nov 18, 2015          17          40          41          46          69          6     
272     Sat. Nov 14, 2015          14          22          37          45          66          5     
271     Wed. Nov 11, 2015          4          26          32          55          64          18     
270     Sat. Nov 07, 2015          7          16          25          50          53          15     
269     Wed. Nov 04, 2015          2          12          17          20          65          17     
268     Sat. Oct 31, 2015          9          20          25          47          68          7     
267     Wed. Oct 28, 2015          4          54          56          62          63          10     
266     Sat. Oct 24, 2015          20          31          56          60          64          2     
265     Wed. Oct 21, 2015          30          32          42          56          57          11     
264     Sat. Oct 17, 2015          48          49          57          62          69          19     
263     Wed. Oct 14, 2015          15          20          29          31          40          1     
262     Sat. Oct 10, 2015          12          27          29          43          68          1     
261     Wed. Oct 07, 2015          18          30          40          48          52          9     
